SB 1289 Measure 3. Average Abandonment Rate,,,
Reporting Period,County Name,Average Abandonment Rate,Footnotes
February 2026,Santa Clara,0.11,"[M, N, P]"
February 2026,Santa Cruz,0.21,"[B, C, G, N, P]"
February 2026,Shasta,0.27,Blank
February 2026,Solano,0.29,"[C, N, P]"
February 2026,Sonoma,0.27,"[C, N, P]"
February 2026,Stanislaus,0.31,"[B, G, L, N]"
February 2026,Sutter,0.23,"[B, N]"
February 2026,Tulare,0.45,"[C, N]"
February 2026,Ventura,0.26,"[C, N, P]"
February 2026,Yolo,0.20,"[C, D, N]"
February 2026,Yuba,0.34,Blank
March 2026,Alameda,0.44,[C]
March 2026,Butte,0.37,Blank
March 2026,Contra Costa,0.25,[C]
March 2026,Fresno,0.43,"[A, N]"
March 2026,Humboldt,0.42,"[C, D, G, L, N, P]"
March 2026,Kern,0.31,Blank
March 2026,Kings,0.28,Blank
March 2026,Los Angeles,0.39,"[B, D, G, L, N, P]"
March 2026,Marin,0.12,Blank
March 2026,Merced,Suppressed,Blank
March 2026,Monterey,0.35,"[N, P]"
March 2026,Napa,,[E]
March 2026,Orange,0.23,"[D, N, P]"
March 2026,Placer,0.23,[N]
March 2026,Riverside,0,Blank
March 2026,Sacramento,0.29,"[B, C, N, P]"
March 2026,San Bernardino,0.27,"[B, G, N]"
March 2026,San Diego,0.02,[C]
March 2026,San Francisco,0.01,Blank
March 2026,San Joaquin,Suppressed,Blank
March 2026,San Luis Obispo,Suppressed,[C]
March 2026,San Mateo,0.34,[N]
March 2026,Santa Barbara,0.37,Blank
March 2026,Santa Clara,0.09,"[M, N, P]"
March 2026,Santa Cruz,0.21,"[B, C, G, N, P]"
March 2026,Shasta,0.23,Blank
March 2026,Solano,0.3,"[C, N, P]"
March 2026,Sonoma,0.2,"[C, N, P]"
March 2026,Stanislaus,0.31,"[B, G, L, N]"
March 2026,Sutter,0.33,"[B, N]"
March 2026,Tulare,0.39,"[C, N]"
March 2026,Ventura,0.23,"[C, N, P]"
March 2026,Yolo,0.21,"[C, D, N]"
March 2026,Yuba,0.44,Blank
April 2026,Alameda,0.46,[C]
April 2026,Butte,0.34,Blank
April 2026,Contra Costa,0.23,[C]
April 2026,Fresno,0.43,"[A, N]"
April 2026,Humboldt,0.42,"[C, D, G, L, N, P]"
April 2026,Kern,0.30,Blank
April 2026,Kings,0.27,Blank
April 2026,Los Angeles,0.35,"[B, D, G, L, N, P]"
April 2026,Marin,0.18,Blank
April 2026,Merced,Suppressed,Blank
April 2026,Monterey,0.39,"[N, P]"
April 2026,Napa,Blank,[E]
April 2026,Orange,0.22,"[D, N, P]"
April 2026,Placer,0.12,[N]
April 2026,Riverside,0,Blank
April 2026,Sacramento,0.29,"[B, C, N, P]"
April 2026,San Bernardino,0.25,"[B, G, N]"
April 2026,San Diego,0.02,[C]
April 2026,San Francisco,0.01,Blank
April 2026,San Joaquin,0,Blank
April 2026,San Luis Obispo,Suppressed,[C]
April 2026,San Mateo,0.36,[N]
April 2026,Santa Barbara,0.38,Blank
April 2026,Santa Clara,0.08,"[M, N, P]"
April 2026,Santa Cruz,0.2,"[B, C, G, N, P]"
April 2026,Shasta,0.24,Blank
April 2026,Solano,0.29,"[C, N, P]"
April 2026,Sonoma,0.14,"[C, N, P]"
April 2026,Stanislaus,0.31,"[B, G, L, N]"
April 2026,Sutter,0.28,"[B, N]"
April 2026,Tulare,0.46,"[C, N]"
April 2026,Ventura,0.20,"[C, N, P]"
April 2026,Yolo,0.17,"[C, D, N]"
April 2026,Yuba,0.38,
May 2026,Alameda, 0.48 ,[C]
May 2026,Butte, 0.29 ,Blank
May 2026,Contra Costa, 0.22 ,[C]
May 2026,Fresno, 0.42 ,"[A, N]"
May 2026,Humboldt, 0.40 ,"[C, D, G, L, N, P]"
May 2026,Kern, 0.32 ,Blank
May 2026,Kings, 0.28 ,Blank
May 2026,Los Angeles, 0.28 ,"[B, D, G, L, N, P]"
May 2026,Marin, 0.15 ,Blank
May 2026,Merced, Suppressed ,Blank
May 2026,Monterey, 0.36 ,"[N, P]"
May 2026,Napa,,[E]
May 2026,Orange, 0.17 ,"[D, N, P]"
May 2026,Placer, 0.16 ,[N]
May 2026,Riverside, Suppressed ,Blank
May 2026,Sacramento, 0.31 ,"[B, C, N, P]"
May 2026,San Bernardino, 0.26 ,"[B, G, N]"
May 2026,San Diego, 0.03 ,[C]
May 2026,San Francisco, 0.01 ,Blank
May 2026,San Joaquin,0.00 ,Blank
May 2026,San Luis Obispo, Suppressed ,[C]
May 2026,San Mateo, 0.32 ,[N]
May 2026,Santa Barbara, 0.37 ,Blank
May 2026,Santa Clara, 0.03 ,"[M, N, P]"
May 2026,Santa Cruz, 0.20 ,"[B, C, G, N, P]"
May 2026,Shasta, 0.25 ,Blank
May 2026,Solano, 0.20 ,"[C, N, P]"
May 2026,Sonoma, 0.08 ,"[C, N, P]"
May 2026,Stanislaus, 0.29 ,"[B, G, L, N]"
May 2026,Sutter, 0.19 ,"[B, N]"
May 2026,Tulare, 0.47 ,"[C, N]"
May 2026,Ventura, 0.19 ,"[C, N, P]"
May 2026,Yolo, 0.13 ,"[C, D, N]"
May 2026,Yuba, 0.52 ,
June 2026,Alameda,0.49,[C]
June 2026,Butte,0.30,Blank
June 2026,Contra Costa,0.22,[C]
June 2026,Fresno,0.45,"[A, N]"
June 2026,Humboldt,0.36,"[C, D, G, L, N, P]"
June 2026,Kern,0.32,Blank
June 2026,Kings,0.28,Blank
June 2026,Los Angeles,0.28,"[B, D, G, L, N, P]"
June 2026,Marin,0.17,Blank
June 2026,Merced,Suppressed,Blank
June 2026,Monterey,0.32,"[N, P]"
June 2026,Napa,,[E]
June 2026,Orange,0.17,"[D, N, P]"
June 2026,Placer,0.17,[N]
June 2026,Riverside,0.00,Blank
June 2026,Sacramento,0.31,"[B, C, N, P]"
June 2026,San Bernardino,0.24,"[B, G, N]"
June 2026,San Diego,0.04,[C]
June 2026,San Francisco,0.01,Blank
June 2026,San Joaquin,0.00,Blank
June 2026,San Luis Obispo,Suppressed,[C]
June 2026,San Mateo,0.37,[N]
June 2026,Santa Barbara,0.37,Blank
June 2026,Santa Clara,0.05,"[M, N, P]"
June 2026,Santa Cruz,0.20,"[B, C, G, N, P]"
June 2026,Shasta,0.28,Blank
June 2026,Solano,0.10,"[C, N, P]"
June 2026,Sonoma,0.07,"[C, N, P]"
June 2026,Stanislaus,0.32,"[B, G, L, N]"
June 2026,Sutter,0.16,"[B, N]"
June 2026,Tulare,0.55,"[C, N]"
June 2026,Ventura,0.20,"[C, N, P]"
June 2026,Yolo,0.15,"[C, D, N]"
June 2026,Yuba,0.40,
